No.,상품명,수량,실매출,weather,temp_avg,temp_max,temp_min
2026-01-16,올리브 치즈 치아바타,8,"36,000",Sunny,6.2,10.6,-0.1
2026-01-16,고구마크림치즈사워도우,6,"34,800",Sunny,6.2,10.6,-0.1
2026-01-16,더블초코스콘,9,"34,200",Sunny,6.2,10.6,-0.1
2026-01-16,무화과 크림치즈 사워도우,6,"33,600",Sunny,6.2,10.6,-0.1
2026-01-16,앙버터,7,"33,600",Sunny,6.2,10.6,-0.1
2026-01-16,아메리카노 HOT,7,"28,000",Sunny,6.2,10.6,-0.1
2026-01-16,크로와상,8,"28,000",Sunny,6.2,10.6,-0.1
2026-01-16,미니페스츄리식빵,5,"27,500",Sunny,6.2,10.6,-0.1
2026-01-16,고메버터 스콘,7,"25,200",Sunny,6.2,10.6,-0.1
2026-01-16,아메리카노 ICE,5,"20,000",Sunny,6.2,10.6,-0.1
2026-01-16,대파 사워도우,3,"17,100",Sunny,6.2,10.6,-0.1
2026-01-16,호두 크랜베리 사워도우,3,"15,900",Sunny,6.2,10.6,-0.1
2026-01-16,카페라떼 HOT,2,"9,000",Sunny,6.2,10.6,-0.1
2026-01-16,뺑오쇼콜라,2,"8,400",Sunny,6.2,10.6,-0.1
2026-01-16,치아바타,2,"8,000",Sunny,6.2,10.6,-0.1
2026-01-16,바닐라빈라떼 ICE,1,"5,300",Sunny,6.2,10.6,-0.1
2026-01-16,바닐라빈라떼 HOT,1,"5,300",Sunny,6.2,10.6,-0.1
2026-01-16,착즙 오렌지,1,"5,000",Sunny,6.2,10.6,-0.1
2026-01-16,사워도우,1,"4,500",Sunny,6.2,10.6,-0.1
2026-01-16,카페라떼 ICE,1,"4,500",Sunny,6.2,10.6,-0.1
2026-01-16,바게트,1,"4,000",Sunny,6.2,10.6,-0.1
2026-01-15,당근라페치아바타샌드위치,17,"136,000",Sunny,10.1,12.1,6
2026-01-15,쉬림프과카몰리샌드위치,15,"127,500",Sunny,10.1,12.1,6
2026-01-15,치아바타 샌드위치,14,"105,000",Sunny,10.1,12.1,6
2026-01-15,바질 잠봉(루꼴라),9,"78,300",Sunny,10.1,12.1,6
2026-01-15,모짜렐라살라미치즈,8,"71,200",Sunny,10.1,12.1,6
2026-01-15,감자 치즈,11,"66,000",Sunny,10.1,12.1,6
2026-01-15,아메리카노 ICE,15,"60,000",Sunny,10.1,12.1,6
2026-01-15,단호박 크림치즈,9,"58,500",Sunny,10.1,12.1,6
2026-01-15,바게트 잠봉,6,"54,000",Sunny,10.1,12.1,6
2026-01-15,피스타치오햄바게트,6,"53,400",Sunny,10.1,12.1,6
2026-01-15,앙버터,10,"48,000",Sunny,10.1,12.1,6
2026-01-15,소금빵,17,"47,600",Sunny,10.1,12.1,6
2026-01-15,소세지빵,10,"45,000",Sunny,10.1,12.1,6
2026-01-15,크렌베리닭가슴살샌드위치,7,"42,000",Sunny,10.1,12.1,6
2026-01-15,아메리카노 HOT,10,"40,000",Sunny,10.1,12.1,6
2026-01-15,에그타르트,9,"36,000",Sunny,10.1,12.1,6
2026-01-15,고구마크림치즈사워도우,6,"34,800",Sunny,10.1,12.1,6
2026-01-15,올리브 치즈 치아바타,7,"31,500",Sunny,10.1,12.1,6
2026-01-15,카페라떼 HOT,5,"22,500",Sunny,10.1,12.1,6
2026-01-15,무화과 크림치즈 사워도우,4,"22,400",Sunny,10.1,12.1,6
2026-01-15,미니페스츄리식빵,4,"22,000",Sunny,10.1,12.1,6
2026-01-15,바닐라까눌레,6,"16,200",Sunny,10.1,12.1,6
2026-01-15,바게트,4,"16,000",Sunny,10.1,12.1,6
2026-01-15,고메버터 스콘,4,"14,400",Sunny,10.1,12.1,6
2026-01-15,치아바타,3,"12,000",Sunny,10.1,12.1,6
2026-01-15,대파 사워도우,2,"11,400",Sunny,10.1,12.1,6
2026-01-15,호두 크랜베리 사워도우,2,"10,600",Sunny,10.1,12.1,6
2026-01-15,크로와상,3,"10,500",Sunny,10.1,12.1,6
2026-01-15,사워도우,2,"9,000",Sunny,10.1,12.1,6
2026-01-15,뺑오쇼콜라,2,"8,400",Sunny,10.1,12.1,6
2026-01-15,착즙 오렌지,1,"5,000",Sunny,10.1,12.1,6
2026-01-15,카페라떼 ICE,1,"4,500",Sunny,10.1,12.1,6
2026-01-15,마르티넬리 애플주스,1,"4,000",Sunny,10.1,12.1,6
2026-01-15,더블초코스콘,0,0,Sunny,10.1,12.1,6
2026-01-14,바질살라미모짜렐라,12,"91,200",Sunny,1.5,5.2,-4.6
2026-01-14,당근라페베이컨 샌드위치,11,"83,600",Sunny,1.5,5.2,-4.6
2026-01-14,플레인햄치즈 샌드위치,10,"76,000",Sunny,1.5,5.2,-4.6
2026-01-14,잠봉 베이글 샌드위치,9,"72,000",Sunny,1.5,5.2,-4.6
2026-01-14,쪽파베이글 샌드위치,8,"52,000",Sunny,1.5,5.2,-4.6
2026-01-14,소프트소금빵,16,"48,000",Sunny,1.5,5.2,-4.6
2026-01-14,카야버터프레첼베이글,6,"33,600",Sunny,1.5,5.2,-4.6
2026-01-14,모찌모찌 식빵,6,"33,000",Sunny,1.5,5.2,-4.6
2026-01-14,생식빵,5,"32,500",Sunny,1.5,5.2,-4.6
2026-01-14,후추소금빵,10,"32,000",Sunny,1.5,5.2,-4.6
2026-01-14,에그타르트,8,"32,000",Sunny,1.5,5.2,-4.6
2026-01-14,통밀잡곡식빵,5,"27,500",Sunny,1.5,5.2,-4.6
2026-01-14,플레인베이글,9,"27,000",Sunny,1.5,5.2,-4.6
2026-01-14,초코베이글,7,"25,200",Sunny,1.5,5.2,-4.6
2026-01-14,호두크랜베리베이글,7,"24,500",Sunny,1.5,5.2,-4.6
2026-01-14,올리브베이글,6,"20,400",Sunny,1.5,5.2,-4.6
2026-01-14,맘모스,4,"19,200",Sunny,1.5,5.2,-4.6
2026-01-14,바닐라까눌레,7,"18,900",Sunny,1.5,5.2,-4.6
2026-01-14,감자치즈베이글,5,"18,000",Sunny,1.5,5.2,-4.6
2026-01-14,아메리카노 ICE,4,"16,000",Sunny,1.5,5.2,-4.6
2026-01-14,아메리카노 HOT,4,"16,000",Sunny,1.5,5.2,-4.6
2026-01-14,단팥빵,8,"16,000",Sunny,1.5,5.2,-4.6
2026-01-14,고메버터 스콘,4,"14,400",Sunny,1.5,5.2,-4.6
2026-01-14,무화과베이글,4,"14,400",Sunny,1.5,5.2,-4.6
2026-01-14,더블초코스콘,3,"11,400",Sunny,1.5,5.2,-4.6
2026-01-14,블루베리 베이글,3,"10,800",Sunny,1.5,5.2,-4.6
2026-01-14,바닐라빈라떼 HOT,2,"10,600",Sunny,1.5,5.2,-4.6
2026-01-14,바닐라빈라떼 ICE,2,"10,600",Sunny,1.5,5.2,-4.6
2026-01-14,당근라페치아바타샌드위치,1,"8,000",Sunny,1.5,5.2,-4.6
2026-01-14,마르티넬리 애플주스,2,"8,000",Sunny,1.5,5.2,-4.6
2026-01-14,카페라떼 HOT,1,"4,500",Sunny,1.5,5.2,-4.6
2026-01-14,바질토마토 크림치즈,1,"1,800",Sunny,1.5,5.2,-4.6
2026-01-12,잠봉 베이글 샌드위치,11,"88,000",Cloudy,-0.6,2,-4.7
2026-01-12,당근라페베이컨 샌드위치,11,"83,600",Cloudy,-0.6,2,-4.7
2026-01-12,바질살라미모짜렐라,11,"83,600",Cloudy,-0.6,2,-4.7
2026-01-12,플레인햄치즈 샌드위치,10,"76,000",Cloudy,-0.6,2,-4.7
2026-01-12,쪽파베이글 샌드위치,8,"52,000",Cloudy,-0.6,2,-4.7
2026-01-12,아메리카노 HOT,13,"52,000",Cloudy,-0.6,2,-4.7
2026-01-12,소프트소금빵,16,"48,000",Cloudy,-0.6,2,-4.7
2026-01-12,카야버터프레첼베이글,8,"44,800",Cloudy,-0.6,2,-4.7
2026-01-12,생식빵,6,"39,000",Cloudy,-0.6,2,-4.7
2026-01-12,감자치즈베이글,9,"32,400",Cloudy,-0.6,2,-4.7
2026-01-12,초코베이글,8,"28,800",Cloudy,-0.6,2,-4.7
2026-01-12,맘모스,6,"28,800",Cloudy,-0.6,2,-4.7
2026-01-12,아메리카노 ICE,7,"28,000",Cloudy,-0.6,2,-4.7
2026-01-12,통밀잡곡식빵,5,"27,500",Cloudy,-0.6,2,-4.7
2026-01-12,후추소금빵,8,"25,600",Cloudy,-0.6,2,-4.7
2026-01-12,플레인베이글,8,"24,000",Cloudy,-0.6,2,-4.7
2026-01-12,모찌모찌 식빵,4,"22,000",Cloudy,-0.6,2,-4.7
2026-01-12,무화과베이글,6,"21,600",Cloudy,-0.6,2,-4.7
2026-01-12,고메버터 스콘,6,"21,600",Cloudy,-0.6,2,-4.7
2026-01-12,블루베리 베이글,5,"18,000",Cloudy,-0.6,2,-4.7
2026-01-12,호두크랜베리베이글,5,"17,500",Cloudy,-0.6,2,-4.7
2026-01-12,올리브베이글,5,"17,000",Cloudy,-0.6,2,-4.7
2026-01-12,에그타르트,4,"16,000",Cloudy,-0.6,2,-4.7
2026-01-12,바닐라빈라떼 ICE,3,"15,900",Cloudy,-0.6,2,-4.7
2026-01-12,바닐라까눌레,5,"13,500",Cloudy,-0.6,2,-4.7
2026-01-12,카페라떼 HOT,3,"13,500",Cloudy,-0.6,2,-4.7
2026-01-12,단팥빵,6,"12,000",Cloudy,-0.6,2,-4.7
2026-01-12,바질토마토 크림치즈,4,"7,200",Cloudy,-0.6,2,-4.7
2026-01-12,블루베리 크림치즈,3,"5,400",Cloudy,-0.6,2,-4.7
2026-01-12,착즙 오렌지,1,"5,000",Cloudy,-0.6,2,-4.7
2026-01-12,크림치즈,1,"1,500",Cloudy,-0.6,2,-4.7
2026-01-12,샷 추가,1,500,Cloudy,-0.6,2,-4.7
2026-01-12,더블초코스콘,0,0,Cloudy,-0.6,2,-4.7
2026-01-11,잠봉 베이글 샌드위치,16,"128,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,바질살라미모짜렐라,16,"121,600",Sunny,-3.2,-1.7,-6.2
2026-01-11,당근라페베이컨 샌드위치,16,"121,600",Sunny,-3.2,-1.7,-6.2
2026-01-11,플레인햄치즈 샌드위치,10,"76,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,아메리카노 HOT,17,"68,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,소프트소금빵,22,"66,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,맘모스,12,"57,600",Sunny,-3.2,-1.7,-6.2
2026-01-11,카야버터프레첼베이글,10,"56,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,아메리카노 ICE,13,"52,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,쪽파베이글 샌드위치,8,"52,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,에그타르트,12,"48,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,감자치즈베이글,12,"43,200",Sunny,-3.2,-1.7,-6.2
2026-01-11,블루베리 베이글,12,"43,200",Sunny,-3.2,-1.7,-6.2
2026-01-11,생식빵,6,"39,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,모찌모찌 식빵,7,"38,500",Sunny,-3.2,-1.7,-6.2
2026-01-11,올리브베이글,11,"37,400",Sunny,-3.2,-1.7,-6.2
2026-01-11,고메버터 스콘,10,"36,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,초코베이글,10,"36,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,무화과베이글,10,"36,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,후추소금빵,11,"35,200",Sunny,-3.2,-1.7,-6.2
2026-01-11,플레인베이글,11,"33,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,통밀잡곡식빵,6,"33,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,단팥빵,11,"22,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,바닐라까눌레,7,"18,900",Sunny,-3.2,-1.7,-6.2
2026-01-11,호두크랜베리베이글,4,"14,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,더블초코스콘,3,"11,400",Sunny,-3.2,-1.7,-6.2
2026-01-11,바닐라빈라떼 HOT,2,"10,600",Sunny,-3.2,-1.7,-6.2
2026-01-11,바닐라빈라떼 ICE,2,"10,600",Sunny,-3.2,-1.7,-6.2
2026-01-11,착즙 오렌지,2,"10,000",Sunny,-3.2,-1.7,-6.2
2026-01-11,크림치즈,3,"4,500",Sunny,-3.2,-1.7,-6.2
2026-01-11,카페라떼 HOT,1,"4,500",Sunny,-3.2,-1.7,-6.2
2026-01-11,블루베리 크림치즈,2,"3,600",Sunny,-3.2,-1.7,-6.2
2026-01-10,당근라페치아바타샌드위치,27,"216,000",Snow,5.4,6.2,4.4
2026-01-10,치아바타 샌드위치,22,"165,000",Snow,5.4,6.2,4.4
2026-01-10,쉬림프과카몰리샌드위치,18,"153,000",Snow,5.4,6.2,4.4
2026-01-10,바게트 잠봉,14,"126,000",Snow,5.4,6.2,4.4
2026-01-10,모짜렐라살라미치즈,14,"124,600",Snow,5.4,6.2,4.4
2026-01-10,바질 잠봉(루꼴라),14,"121,800",Snow,5.4,6.2,4.4
2026-01-10,피스타치오햄바게트,12,"106,800",Snow,5.4,6.2,4.4
2026-01-10,감자 치즈,15,"90,000",Snow,5.4,6.2,4.4
2026-01-10,아메리카노 HOT,22,"88,000",Snow,5.4,6.2,4.4
2026-01-10,아메리카노 ICE,22,"88,000",Snow,5.4,6.2,4.4
2026-01-10,에그타르트,21,"84,000",Snow,5.4,6.2,4.4
2026-01-10,크렌베리닭가슴살샌드위치,10,"60,000",Snow,5.4,6.2,4.4
2026-01-10,단호박 크림치즈,9,"58,500",Snow,5.4,6.2,4.4
2026-01-10,소금빵,18,"50,400",Snow,5.4,6.2,4.4
2026-01-10,고구마크림치즈사워도우,8,"46,400",Snow,5.4,6.2,4.4
2026-01-10,소세지빵,10,"45,000",Snow,5.4,6.2,4.4
2026-01-10,무화과 크림치즈 사워도우,8,"44,800",Snow,5.4,6.2,4.4
2026-01-10,고메버터 스콘,11,"39,600",Snow,5.4,6.2,4.4
2026-01-10,미니페스츄리식빵,7,"38,500",Snow,5.4,6.2,4.4
2026-01-10,더블초코스콘,10,"38,000",Snow,5.4,6.2,4.4
2026-01-10,올리브 치즈 치아바타,8,"36,000",Snow,5.4,6.2,4.4
2026-01-10,크로와상,10,"35,000",Snow,5.4,6.2,4.4
2026-01-10,앙버터,6,"28,800",Snow,5.4,6.2,4.4
2026-01-10,바닐라까눌레,10,"27,000",Snow,5.4,6.2,4.4
2026-01-10,카페라떼 HOT,6,"27,000",Snow,5.4,6.2,4.4
2026-01-10,뺑오쇼콜라,6,"25,200",Snow,5.4,6.2,4.4
2026-01-10,대파 사워도우,3,"17,100",Snow,5.4,6.2,4.4
2026-01-10,호두 크랜베리 사워도우,3,"15,900",Snow,5.4,6.2,4.4
2026-01-10,사워도우,3,"13,500",Snow,5.4,6.2,4.4
2026-01-10,바게트,3,"12,000",Snow,5.4,6.2,4.4
2026-01-10,치아바타,3,"12,000",Snow,5.4,6.2,4.4
2026-01-10,바닐라빈라떼 HOT,2,"10,600",Snow,5.4,6.2,4.4
2026-01-10,착즙 오렌지,2,"10,000",Snow,5.4,6.2,4.4
2026-01-10,카페라떼 ICE,2,"9,000",Snow,5.4,6.2,4.4
2026-01-10,마르티넬리 애플주스,2,"8,000",Snow,5.4,6.2,4.4
2026-01-10,애플키위믹스,1,"5,000",Snow,5.4,6.2,4.4
2026-01-10,바질토마토 크림치즈,1,"1,800",Snow,5.4,6.2,4.4
2026-01-09,당근라페치아바타샌드위치,17,"324,800",Cloudy,3.1,5.3,-1.9
2026-01-09,감자 치즈,15,"90,000",Cloudy,3.1,5.3,-1.9
2026-01-09,치아바타 샌드위치,12,"90,000",Cloudy,3.1,5.3,-1.9
2026-01-09,바질 잠봉(루꼴라),10,"87,000",Cloudy,3.1,5.3,-1.9
2026-01-09,쉬림프과카몰리샌드위치,10,"85,000",Cloudy,3.1,5.3,-1.9
2026-01-09,모짜렐라살라미치즈,9,"80,100",Cloudy,3.1,5.3,-1.9
2026-01-09,피스타치오햄바게트,8,"71,200",Cloudy,3.1,5.3,-1.9
2026-01-09,단호박 크림치즈,9,"58,500",Cloudy,3.1,5.3,-1.9
2026-01-09,바게트 잠봉,6,"54,000",Cloudy,3.1,5.3,-1.9
2026-01-09,아메리카노 HOT,13,"52,000",Cloudy,3.1,5.3,-1.9
2026-01-09,크렌베리닭가슴살샌드위치,8,"48,000",Cloudy,3.1,5.3,-1.9
2026-01-09,에그타르트,12,"48,000",Cloudy,3.1,5.3,-1.9
2026-01-09,소금빵,17,"47,600",Cloudy,3.1,5.3,-1.9
2026-01-09,앙버터,9,"43,200",Cloudy,3.1,5.3,-1.9
2026-01-09,소세지빵,9,"40,500",Cloudy,3.1,5.3,-1.9
2026-01-09,올리브 치즈 치아바타,8,"36,000",Cloudy,3.1,5.3,-1.9
2026-01-09,고구마크림치즈사워도우,6,"34,800",Cloudy,3.1,5.3,-1.9
2026-01-09,무화과 크림치즈 사워도우,6,"33,600",Cloudy,3.1,5.3,-1.9
2026-01-09,고메버터 스콘,9,"32,400",Cloudy,3.1,5.3,-1.9
2026-01-09,바닐라까눌레,11,"29,700",Cloudy,3.1,5.3,-1.9
2026-01-09,미니페스츄리식빵,5,"27,500",Cloudy,3.1,5.3,-1.9
2026-01-09,더블초코스콘,7,"26,600",Cloudy,3.1,5.3,-1.9
2026-01-09,뺑오쇼콜라,6,"25,200",Cloudy,3.1,5.3,-1.9
2026-01-09,카페라떼 ICE,4,"18,000",Cloudy,3.1,5.3,-1.9
2026-01-09,바게트,4,"16,000",Cloudy,3.1,5.3,-1.9
2026-01-09,아메리카노 ICE,4,"16,000",Cloudy,3.1,5.3,-1.9
2026-01-09,호두 크랜베리 사워도우,3,"15,900",Cloudy,3.1,5.3,-1.9
2026-01-09,바닐라빈라떼 ICE,3,"15,900",Cloudy,3.1,5.3,-1.9
